1,049989900E+00
1,049990200E+00
1,049990200E+00
1,049990300E+00
1,049990600E+00
1,049990700E+00
1,049990700E+00
1,049990700E+00
1,049990800E+00
1,049990900E+00
1,049990900E+00
1,049991000E+00
1,049991300E+00
1,049991400E+00
1,049991600E+00
1,049991400E+00
1,049991600E+00
1,049991400E+00
1,049991700E+00
1,049991400E+00
1,049991400E+00
1,049991200E+00
1,049991700E+00
1,049991800E+00
1,049991800E+00
1,049991900E+00
1,049991900E+00
1,049991900E+00
1,049992000E+00
1,049991700E+00
1,049992000E+00
1,049992200E+00
1,049991900E+00
1,049992200E+00
1,049992000E+00
1,049992300E+00
1,049992500E+00
1,049992100E+00
1,049992300E+00
1,049992100E+00
1,049992300E+00
1,049992500E+00
1,049992600E+00
1,049992800E+00
1,049992800E+00
1,049992600E+00
1,049992700E+00
1,049992900E+00
1,049992500E+00
1,049992700E+00
1,049993200E+00
1,049993000E+00
1,049993000E+00
1,049992800E+00
1,049993100E+00
1,049993000E+00
1,049992900E+00
1,049992600E+00
1,049992800E+00
1,049994400E+00
1,049994300E+00
1,049993900E+00
1,049994000E+00
1,049993900E+00
1,049993800E+00
1,049993800E+00
1,049994100E+00
1,049994000E+00
1,049994100E+00
1,049994300E+00
1,049994200E+00
1,049994000E+00
1,049994400E+00
1,049994700E+00
1,049994800E+00
1,049994300E+00
1,049994700E+00
1,049994700E+00
1,049994900E+00
1,049995000E+00
1,049995300E+00
1,049995000E+00
1,049995500E+00
1,049995400E+00
1,049995700E+00
1,049995600E+00
1,049995800E+00
1,049995700E+00
1,049996100E+00
1,049996100E+00
1,049996000E+00
1,049996500E+00
1,049996300E+00
1,049996300E+00
1,049996700E+00
1,049996700E+00
1,049996700E+00
1,049997000E+00
1,049996800E+00
1,049996900E+00
1,049997200E+00
1,049997100E+00
1,049997100E+00
1,049997400E+00
1,049997300E+00
1,049997600E+00
1,049997300E+00
1,049997200E+00
1,049997200E+00
1,049997500E+00
1,049997500E+00
1,049997800E+00
1,049997500E+00
1,049997600E+00
1,049997200E+00
1,049997700E+00
1,049997500E+00
1,049997500E+00
1,049997500E+00
1,049997600E+00
